id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1386584623224803329,1386584623224803329,2021-04-26 10:35:10 +03,2021-04-26,10:35:10,+0300,118051373,sharathfrida,sharath  kumar,,@myntra @MyntraSupport your ethics are rotten than a ten year old banana...shame on you really!!! You are denying a refund for a product which has been picked by you.I have raised 5 requests so far! Pathetic... you are a disgrace to startup community of India.,en,"[{'screen_name': 'myntrasupport', 'name': 'myntra support', 'id': '4142910854'}]",[],[],1,0,0,[],[],https://twitter.com/sharathfrida/status/1386584623224803329,False,,0,,,,,,,,[],,,,
1386578672962920449,1386577506396934144,2021-04-26 10:11:31 +03,2021-04-26,10:11:31,+0300,1363965420991111168,joshclas,Joshua Emenike Chinomso,,@chidinmaekile I've been making my request for months now but luck is yet to shine on me I need money to complete with the little I have to start up a mini business here in my area. I would appreciate help from you ma  #Sere4playEP,en,[],[],[],2,0,2,['sere4playep'],[],https://twitter.com/joshclas/status/1386578672962920449,False,,0,,,,,,,,"[{'screen_name': 'chidinmaekile', 'name': 'Chidinma Ekile', 'id': '255091464'}]",,,,
1386571217096744961,1386571217096744961,2021-04-26 09:41:54 +03,2021-04-26,09:41:54,+0300,1380968350835040260,getapricecanada,Get a Price,,"If you want to #supportlocalyyc when you buy services, please consider posting your service quote requests on  https://t.co/ZyXCzU5Gk2. We're a Calgary startup, connecting customers with small, local service providers. Forever free for customers too!",en,[],['http://GetaPrice.ca'],[],0,0,0,['supportlocalyyc'],[],https://twitter.com/GetaPriceCanada/status/1386571217096744961,False,,0,,,,,,,,[],,,,
1386542195063148548,1386542195063148548,2021-04-26 07:46:34 +03,2021-04-26,07:46:34,+0300,14274428,nischalshetty,Nischal (WazirX) ⚡️,,Day 907  WazirX will donate Rs. 8 CRORE for Covid relief  I request every startup in India to contribute.  Crypto community should help as much as possible.  Please suggest where we should donate these funds  We’re in this together 🤝  #IndiaWantsCrypto #IndiaFightsCOVID19,en,[],[],[],746,1215,4811,"['indiawantscrypto', 'indiafightscovid19']",[],https://twitter.com/NischalShetty/status/1386542195063148548,False,,0,,,,,,,,[],,,,
1386529087036944385,1386521099505045506,2021-04-26 06:54:29 +03,2021-04-26,06:54:29,+0300,43742509,epigiri,Dr Giridhara R Babu,,"Given this limited information I have gathered, request the experts to provide more inputs.   Most important: how can start up's, innovators, engineers fix India's oxygen problem.   Your ideas can literally be life saving and life changing for millions in the world.  n of n.",en,[],[],[],2,4,13,[],[],https://twitter.com/epigiri/status/1386529087036944385,False,,0,,,,,,,,[],,,,
1386444318714433537,1386444318714433537,2021-04-26 01:17:39 +03,2021-04-26,01:17:39,+0300,2562403424,intake_anthony,Anthony McGuigan,,Product Request/Idea:  TikTok for Podcasts Or  Podcasts for Tweets   Not sure how to word it - but somebody make this thing (or angrily tell me where it already exists because this is Twitter)  #podcast #startup,en,[],[],[],0,0,0,"['podcast', 'startup']",[],https://twitter.com/InTake_Anthony/status/1386444318714433537,False,,0,,,,,,,,[],,,,
1386409793187844096,1386409793187844096,2021-04-25 23:00:27 +03,2021-04-25,23:00:27,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@Tejasvi_Surya  Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,[],[],[],1,1,1,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1386409793187844096,False,,0,,,,,,,,[],,,,
1386409692738383874,1386409692738383874,2021-04-25 23:00:03 +03,2021-04-25,23:00:03,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@sureshpprabhu Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,[],[],[],0,0,1,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1386409692738383874,False,,0,,,,,,,,[],,,,
1386371082563686404,1386366997127041033,2021-04-25 20:26:38 +03,2021-04-25,20:26:38,+0300,220588992,vivekanandahr,vivek,,"@MichaelDell @JakeSullivan46 @MichaelDell  in case you are looking for ways to help India, ACT is an initiative run by founders, investors and people from start up eco system. They are organising a lot of stiff such as Oxygen concentrators etc., request you to use this link and donate  https://t.co/NLIiOounIr",en,[],['https://actgrants.in/'],[],0,3,13,[],[],https://twitter.com/vivekanandahr/status/1386371082563686404,False,,0,,,,,,,,"[{'screen_name': 'MichaelDell', 'name': 'Michael Dell', 'id': '58560480'}, {'screen_name': 'JakeSullivan46', 'name': 'Jake Sullivan', 'id': '1356782857549676544'}]",,,,
1386370725376782336,1386366997127041033,2021-04-25 20:25:13 +03,2021-04-25,20:25:13,+0300,220588992,vivekanandahr,vivek,,"@babvin @MichaelDell @JakeSullivan46 @MichaelDell in case you are looking for ways to help India, ACT is an initiative run by founders, investors and people from start up eco system. They are organising a lot of stiff such as Oxygen concentrators etc., request you to use this link and donate  https://t.co/NLIiOounIr",en,[],['https://actgrants.in/'],[],0,0,0,[],[],https://twitter.com/vivekanandahr/status/1386370725376782336,False,,0,,,,,,,,"[{'screen_name': 'babvin', 'name': 'Vinay Babu', 'id': '42043689'}, {'screen_name': 'MichaelDell', 'name': 'Michael Dell', 'id': '58560480'}, {'screen_name': 'JakeSullivan46', 'name': 'Jake Sullivan', 'id': '1356782857549676544'}]",,,,
